name	chars	lines
ReactiveCapabilityCurve-reactiveCountP	2324	39
ReactiveCapabilityCurve-xvalue	547	23
HydroGeneratingUnit.energyConversionCapability-typeConsistency	1115	9
ShuntCompensator-controlMode	440	8
VsCapabilityCurve-VsCapabilityCurveCount	231	9
VsCapabilityCurve-yvalues	235	8
StaticVarCompensator-controlMode	764	12
TapChangerControl-remoteQcontrol	631	10
SynchronousMachine-controlMode	440	8
GeneratingUnit-typeDependency	2091	25
SynchronousMachine-reactiveLimits	1353	26
SynchronousMachine.type-condenser	409	10
CurveData.xvalue-value	1587	28
RatioTapChanger-controlMode	428	8
OperationalLimitSet-limits	1006	14
SynchronousMachine-aggregate	1057	23
AsynchronousMachine-aggregate	1123	24
CurveData-equationY2	707	13
CurveData-equationY1	632	12
CurveData-reactive	1290	29
Terminal-connection	436	13
Measurement.Terminal-requiredCases	1144	14
TransformerEnd-grounding	275	8
SynchronousMachine-attributes	349	8
Model-angleReference	1661	38
SvShuntCompensatorSections.sections-value	816	14
SvTapStep.position-value	757	14
SvSwitch-instance	137	6
SvPowerFlow-instance	860	12
SvPowerFlow.p-synchronousMachine	1667	30
SvPowerFlow.q-synchronousMachine	1354	25
SvVoltage.v-limits	1652	25
SvVoltage.v-absoluteLimit	1796	26
EquivalentInjection-regulation	362	8
RotatingMachine.p-limits	643	12
RotatingMachine.q-limits	755	13
TapChanger.step-value	673	13
ShuntCompensator.sections-value	682	13
RegulatingControl.targetValue-value	266	8
ExternalNetworkInjection.p-limits	307	8
ExternalNetworkInjection.q-limits	307	8
EquivalentInjection.p-limits	576	11
EquivalentInjection.q-limits	576	11
SynchronousMachine.operatingMode-matchType	955	10
RotatingMachine-pAndQcapabilityCurveP	736	20
RotatingMachine-pAndQcapabilityCurveQ	792	21
GeneratingUnit-singleActivePowerSlack	628	17
Switch-sameTopologicalNode	857	17
TurbineGovernorDynamics-mbaseEquation	1973	36
ExcitationSystemDynamics.SynchronousMachineDynamicsSynchronousMachineSimplified-valueType	165	7
SynchronousMachineTimeConstantReactance-modelType-SubtransientRoundRotorSimplified	599	10
SynchronousMachineTimeConstantReactance-modelType-SubtransientRoundRotor	889	13
SynchronousMachineTimeConstantReactance-modelType-SubtransientSalientPole	487	9
All-GENC1	193	9
All-GENC4	414	9
All-GENC5	403	10
Model.created-HGEN4	116	6
Model.scenarioTime-HGEN4	116	6
Float-specialValues	339	8
Model.modelingAuthoritySet-marp10-12	113	6
SvVoltage-SV__4	370	10
SvSwitch-SV__4	730	12
SvStatus-SV__4	753	12
SvShuntCompensatorSections-SV__4	735	11
SvShuntCompensatorSections.sections-SV__4	872	12
SvTapStep-SV__4	1352	12
SvTapStep.position-SV__4	997	12
RegulatingControl-samePoint	622	19
RegulatingControl-point	2329	17
TapChanger.neutralU-valueRangePair	386	8
Substation-count	490	20
ReactiveCapabilityCurve-units	470	10
IdentifiedObject.shortName-stringLength	120	7
IdentifiedObject.energyIdentCodeEic-stringLength	121	7
